7;0;5
992;0;8;11798.039703805782
1006;0;9;11798.039703805782
182;0;7;12633.247178948637
178;0;8;12633.247178948637
172;1;11;12633.247178948637
180;1;12;12633.247178948637
492;0;10;10639.890584966586
484;0;11;10639.890584966586
480;0;9;10639.890584966586
487;0;10;10639.890584966586
101;0;11;10333.694163577818
112;1;8;10333.694163577818
113;1;7;10333.694163577818
114;0;12;10333.694163577818
1154;0;6;8480.366259537659
1150;0;5;8480.366259537659
1153;3;11;8480.366259537659
228;0;9;11563.66790259094
232;0;11;11563.66790259094
223;0;10;11563.66790259094
231;1;8;11563.66790259094
1152;1;12;8480.366259537659
950;0;11;10433.118536794373
942;0;10;10433.118536794373
939;0;10;10433.118536794373
293;0;11;9033.018093922428
299;0;11;9033.018093922428
751;3;4;9157.403836888403
759;0;10;9157.403836888403
757;3;6;9157.403836888403
301;0;8;9033.018093922428
200;0;8;10010.476579662274
755;0;12;9157.403836888403
206;3;5;10010.476579662274
298;1;8;9033.018093922428
194;2;7;10010.476579662274
946;0;9;10433.118536794373
203;2;10;10010.476579662274
1326;0;8;9706.085570684976
1323;1;10;9706.085570684976
1319;1;7;9706.085570684976
1327;1;9;9706.085570684976
536;0;10;10110.692533724567
1263;0;7;12652.874753203358
1264;1;12;12652.874753203358
1265;0;7;12652.874753203358
1261;1;12;12652.874753203358
1122;1;9;8087.691650517585
1121;1;7;8087.691650517585
531;0;10;10110.692533724567
1124;2;8;8087.691650517585
1112;1;10;8087.691650517585
161;0;8;10373.416510547066
160;0;6;10373.416510547066
55;0;10;9520.312147869186
163;0;12;10373.416510547066
54;0;10;9520.312147869186
154;0;14;10373.416510547066
47;0;12;9520.312147869186
112;0;8;10679.934413917532
111;0;12;10679.934413917532
144;2;4;9561.119355880202
145;2;5;9561.119355880202
147;0;13;9561.119355880202
53;0;8;9520.312147869186
113;0;12;10679.934413917532
100;0;8;10679.934413917532
141;0;14;9561.119355880202
1264;0;9;10493.432734420316
1259;0;12;10493.432734420316
1265;0;11;10493.432734420316
1263;0;8;10493.432734420316
36;0;9;9776.493248806424
24;0;10;9776.493248806424
37;0;11;9776.493248806424
35;0;10;9776.493248806424
531;0;15;10404.216241080558
532;0;5;10404.216241080558
529;0;5;10404.216241080558
524;0;15;10404.216241080558
648;0;10;8638.01295590025
643;0;10;8638.01295590025
1104;0;7;9807.09056771813
1102;0;13;9807.09056771813
1101;0;12;9807.09056771813
498;0;8;10881.95306561051
1091;0;8;9807.09056771813
507;0;8;10881.95306561051
